Feature,Gini_Score,Purity,Rank
HLA-DRB1,0.06474820143884896,0.935251798561151,1
HLA-DPA1,0.07913669064748197,0.920863309352518,2
CD79A,0.08633093525179858,0.9136690647482014,3
CD79B,0.15827338129496404,0.841726618705036,4
HLA-DQA1,0.237410071942446,0.762589928057554,5
HLA-DQB1,0.3381294964028777,0.6618705035971223,6
MS4A1,0.3525179856115108,0.6474820143884892,7
HLA-DRB5,0.39568345323741005,0.60431654676259,8
PLAC8,0.5683453237410072,0.4316546762589928,9
HLA-DMA,0.5899280575539568,0.41007194244604317,10
TCL1A,0.7266187050359711,0.27338129496402885,11
VPREB3,0.7338129496402878,0.26618705035971224,12
TAGLN2,0.7697841726618705,0.2302158273381295,13
SRSF7,0.7697841726618705,0.2302158273381295,13
SLC25A5,0.7769784172661871,0.2230215827338129,14
CD69,0.7841726618705036,0.2158273381294964,15
YWHAB,0.7913669064748201,0.2086330935251799,16
TUBA1A,0.8345323741007195,0.16546762589928055,17
CD99,0.8633093525179856,0.13669064748201443,18
CYB561A3,0.8776978417266187,0.12230215827338131,19
GSTP1,0.8848920863309353,0.1151079136690647,20
FCER2,0.8920863309352518,0.1079136690647482,21
IGLL5,0.8920863309352518,0.1079136690647482,21
TSTD1,0.9136690647482014,0.08633093525179858,22
BIN1,0.920863309352518,0.07913669064748197,23
IFT57,0.920863309352518,0.07913669064748197,23
KIAA0125,0.920863309352518,0.07913669064748197,23
RBM39,0.920863309352518,0.07913669064748197,23
CNPY3,0.9280575539568345,0.07194244604316546,24
DUT,0.9280575539568345,0.07194244604316546,24
C1orf162,0.935251798561151,0.06474820143884896,25
GAPT,0.935251798561151,0.06474820143884896,25
FCGR2B,0.9424460431654677,0.05755395683453235,26
OAS1,0.9424460431654677,0.05755395683453235,26
EIF5A,0.9424460431654677,0.05755395683453235,26
CD1C,0.9568345323741008,0.043165467625899234,27
OCIAD1,0.9568345323741008,0.043165467625899234,27
ATP5EP2,0.9568345323741008,0.043165467625899234,27
IFI6,0.9640287769784173,0.03597122302158273,28
MMADHC,0.9640287769784173,0.03597122302158273,28
WIPF1,0.9640287769784173,0.03597122302158273,28
HMGA1,0.9640287769784173,0.03597122302158273,28
AP2S1,0.9640287769784173,0.03597122302158273,28
STMN1,0.9712230215827338,0.02877697841726623,29
CEPT1,0.9712230215827338,0.02877697841726623,29
RHOB,0.9712230215827338,0.02877697841726623,29
CFLAR,0.9712230215827338,0.02877697841726623,29
MED28,0.9712230215827338,0.02877697841726623,29
NDUFA2,0.9712230215827338,0.02877697841726623,29
NDFIP1,0.9712230215827338,0.02877697841726623,29
RP1-313I6.12,0.9712230215827338,0.02877697841726623,29
COX6A1P2,0.9712230215827338,0.02877697841726623,29
BTK,0.9712230215827338,0.02877697841726623,29
IDH3G,0.9712230215827338,0.02877697841726623,29
BEST1,0.9712230215827338,0.02877697841726623,29
KTN1,0.9712230215827338,0.02877697841726623,29
AL928768.3,0.9712230215827338,0.02877697841726623,29
NME4,0.9712230215827338,0.02877697841726623,29
CCDC115,0.9784172661870504,0.021582733812949617,30
DARS,0.9784172661870504,0.021582733812949617,30
MRPL44,0.9784172661870504,0.021582733812949617,30
PFDN6,0.9784172661870504,0.021582733812949617,30
GIMAP4,0.9784172661870504,0.021582733812949617,30
OFD1,0.9784172661870504,0.021582733812949617,30
ERICH1,0.9784172661870504,0.021582733812949617,30
SIT1,0.9784172661870504,0.021582733812949617,30
OSTF1,0.9784172661870504,0.021582733812949617,30
MAP3K8,0.9784172661870504,0.021582733812949617,30
MRPL51,0.9784172661870504,0.021582733812949617,30
RGCC,0.9784172661870504,0.021582733812949617,30
KLF13,0.9784172661870504,0.021582733812949617,30
BFAR,0.9784172661870504,0.021582733812949617,30
NFATC2IP,0.9784172661870504,0.021582733812949617,30
CHD9,0.9784172661870504,0.021582733812949617,30
SMCHD1,0.9784172661870504,0.021582733812949617,30
CXXC1,0.9784172661870504,0.021582733812949617,30
CEBPB,0.9784172661870504,0.021582733812949617,30
RNF126,0.9784172661870504,0.021582733812949617,30
TTC3,0.9784172661870504,0.021582733812949617,30
CSTB,0.9784172661870504,0.021582733812949617,30
PRDM2,0.9856115107913669,0.014388489208633115,31
ATPAF1,0.9856115107913669,0.014388489208633115,31
ODF2L,0.9856115107913669,0.014388489208633115,31
GBP1,0.9856115107913669,0.014388489208633115,31
MNDA,0.9856115107913669,0.014388489208633115,31
SF3B14,0.9856115107913669,0.014388489208633115,31
EML4,0.9856115107913669,0.014388489208633115,31
GNLY,0.9856115107913669,0.014388489208633115,31
CD8B,0.9856115107913669,0.014388489208633115,31
COA5,0.9856115107913669,0.014388489208633115,31
STK16,0.9856115107913669,0.014388489208633115,31
EPM2AIP1,0.9856115107913669,0.014388489208633115,31
TRMT10C,0.9856115107913669,0.014388489208633115,31
RUVBL1,0.9856115107913669,0.014388489208633115,31
ATP1B3,0.9856115107913669,0.014388489208633115,31
PSMD2,0.9856115107913669,0.014388489208633115,31
HOPX,0.9856115107913669,0.014388489208633115,31
DNAJB14,0.9856115107913669,0.014388489208633115,31
UBLCP1,0.9856115107913669,0.014388489208633115,31
SERPINB6,0.9856115107913669,0.014388489208633115,31
MRPS18B,0.9856115107913669,0.014388489208633115,31
NCR3,0.9856115107913669,0.014388489208633115,31
RING1,0.9856115107913669,0.014388489208633115,31
CCDC167,0.9856115107913669,0.014388489208633115,31
C7orf50,0.9856115107913669,0.014388489208633115,31
TMED4,0.9856115107913669,0.014388489208633115,31
GSAP,0.9856115107913669,0.014388489208633115,31
DNAJB6,0.9856115107913669,0.014388489208633115,31
ATRX,0.9856115107913669,0.014388489208633115,31
BNIP3L,0.9856115107913669,0.014388489208633115,31
COPS5,0.9856115107913669,0.014388489208633115,31
CISD1,0.9856115107913669,0.014388489208633115,31
NDUFS3,0.9856115107913669,0.014388489208633115,31
CTSC,0.9856115107913669,0.014388489208633115,31
ETS1,0.9856115107913669,0.014388489208633115,31
C12orf57,0.9856115107913669,0.014388489208633115,31
ERGIC2,0.9856115107913669,0.014388489208633115,31
NR2C1,0.9856115107913669,0.014388489208633115,31
N4BP2L1,0.9856115107913669,0.014388489208633115,31
WARS,0.9856115107913669,0.014388489208633115,31
KATNBL1,0.9856115107913669,0.014388489208633115,31
POLR2M,0.9856115107913669,0.014388489208633115,31
RAB8B,0.9856115107913669,0.014388489208633115,31
SPG21,0.9856115107913669,0.014388489208633115,31
MESDC2,0.9856115107913669,0.014388489208633115,31
CRTC3,0.9856115107913669,0.014388489208633115,31
HMOX2,0.9856115107913669,0.014388489208633115,31
ATF7IP2,0.9856115107913669,0.014388489208633115,31
EMC6,0.9856115107913669,0.014388489208633115,31
SLC25A11,0.9856115107913669,0.014388489208633115,31
CD68,0.9856115107913669,0.014388489208633115,31
TTC19,0.9856115107913669,0.014388489208633115,31
CCL3,0.9856115107913669,0.014388489208633115,31
FMNL1,0.9856115107913669,0.014388489208633115,31
SAP30BP,0.9856115107913669,0.014388489208633115,31
DCXR,0.9856115107913669,0.014388489208633115,31
IDH3B,0.9856115107913669,0.014388489208633115,31
HCK,0.9856115107913669,0.014388489208633115,31
ASXL1,0.9856115107913669,0.014388489208633115,31
PTPN1,0.9856115107913669,0.014388489208633115,31
C19orf10,0.9856115107913669,0.014388489208633115,31
MAP2K7,0.9856115107913669,0.014388489208633115,31
ELOF1,0.9856115107913669,0.014388489208633115,31
TECR,0.9856115107913669,0.014388489208633115,31
SSBP4,0.9856115107913669,0.014388489208633115,31
SERTAD1,0.9856115107913669,0.014388489208633115,31
NKG7,0.9856115107913669,0.014388489208633115,31
ZNF274,0.9856115107913669,0.014388489208633115,31
TPST2,0.9856115107913669,0.014388489208633115,31
RTCB,0.9856115107913669,0.014388489208633115,31
NDUFA6,0.9856115107913669,0.014388489208633115,31
RRP1B,0.9856115107913669,0.014388489208633115,31
RP3-395M20.12,0.9928057553956835,0.007194244604316502,32
CROCCP2,0.9928057553956835,0.007194244604316502,32
LYPLA2,0.9928057553956835,0.007194244604316502,32
RPS6KA1,0.9928057553956835,0.007194244604316502,32
TMEM222,0.9928057553956835,0.007194244604316502,32
PEF1,0.9928057553956835,0.007194244604316502,32
MAP7D1,0.9928057553956835,0.007194244604316502,32
EBNA1BP2,0.9928057553956835,0.007194244604316502,32
PLK3,0.9928057553956835,0.007194244604316502,32
USP33,0.9928057553956835,0.007194244604316502,32
FAM46C,0.9928057553956835,0.007194244604316502,32
SF3B4,0.9928057553956835,0.007194244604316502,32
VPS72,0.9928057553956835,0.007194244604316502,32
PI4KB,0.9928057553956835,0.007194244604316502,32
SLC50A1,0.9928057553956835,0.007194244604316502,32
MRPL24,0.9928057553956835,0.007194244604316502,32
CD1D,0.9928057553956835,0.007194244604316502,32
ATF6,0.9928057553956835,0.007194244604316502,32
GLUL,0.9928057553956835,0.007194244604316502,32
DHX9,0.9928057553956835,0.007194244604316502,32
RASSF5,0.9928057553956835,0.007194244604316502,32
PPP2R5A,0.9928057553956835,0.007194244604316502,32
EGLN1,0.9928057553956835,0.007194244604316502,32
CMPK2,0.9928057553956835,0.007194244604316502,32
PRADC1,0.9928057553956835,0.007194244604316502,32
ARID5A,0.9928057553956835,0.007194244604316502,32
TXNDC9,0.9928057553956835,0.007194244604316502,32
PDCL3,0.9928057553956835,0.007194244604316502,32
NIFK,0.9928057553956835,0.007194244604316502,32
TSN,0.9928057553956835,0.007194244604316502,32
PRPF40A,0.9928057553956835,0.007194244604316502,32
COQ10B,0.9928057553956835,0.007194244604316502,32
CASP8,0.9928057553956835,0.007194244604316502,32
SLC11A1,0.9928057553956835,0.007194244604316502,32
ZFAND2B,0.9928057553956835,0.007194244604316502,32
PDE6D,0.9928057553956835,0.007194244604316502,32
BHLHE40,0.9928057553956835,0.007194244604316502,32
THUMPD3,0.9928057553956835,0.007194244604316502,32
SATB1,0.9928057553956835,0.007194244604316502,32
ACAA1,0.9928057553956835,0.007194244604316502,32
QARS,0.9928057553956835,0.007194244604316502,32
GNAI2,0.9928057553956835,0.007194244604316502,32
MAPKAPK3,0.9928057553956835,0.007194244604316502,32
PBRM1,0.9928057553956835,0.007194244604316502,32
MINA,0.9928057553956835,0.007194244604316502,32
CMSS1,0.9928057553956835,0.007194244604316502,32
NIT2,0.9928057553956835,0.007194244604316502,32
ATG3,0.9928057553956835,0.007194244604316502,32
ABTB1,0.9928057553956835,0.007194244604316502,32
CDV3,0.9928057553956835,0.007194244604316502,32
TFDP2,0.9928057553956835,0.007194244604316502,32
PLSCR1,0.9928057553956835,0.007194244604316502,32
RAP2B,0.9928057553956835,0.007194244604316502,32
DNAJB11,0.9928057553956835,0.007194244604316502,32
NRROS,0.9928057553956835,0.007194244604316502,32
GAK,0.9928057553956835,0.007194244604316502,32
COQ2,0.9928057553956835,0.007194244604316502,32
PLA2G12A,0.9928057553956835,0.007194244604316502,32
LARP7,0.9928057553956835,0.007194244604316502,32
RP11-83A24.2,0.9928057553956835,0.007194244604316502,32
TMEM192,0.9928057553956835,0.007194244604316502,32
SDHA,0.9928057553956835,0.007194244604316502,32
NDUFS4,0.9928057553956835,0.007194244604316502,32
GZMK,0.9928057553956835,0.007194244604316502,32
GZMA,0.9928057553956835,0.007194244604316502,32
