Feature,Gini_Score,Purity,Rank
CST3,0.03012912482065999,0.96987087517934,1
TYROBP,0.031563845050215256,0.9684361549497847,2
LGALS1,0.061692969870875136,0.9383070301291249,3
AIF1,0.1076040172166427,0.8923959827833573,4
LST1,0.11334289813486376,0.8866571018651362,5
S100A9,0.14777618364418943,0.8522238163558106,6
FCER1G,0.16642754662840742,0.8335724533715926,7
PSAP,0.21807747489239593,0.7819225251076041,8
FCN1,0.24820659971305592,0.7517934002869441,9
TYMP,0.26255380200860834,0.7374461979913917,10
S100A8,0.2898134863701578,0.7101865136298422,11
HLA-DRB1,0.30703012912482064,0.6929698708751794,12
GSTP1,0.33715925394548063,0.6628407460545194,13
NPC2,0.34720229555236726,0.6527977044476327,14
HLA-DPA1,0.35150645624103305,0.648493543758967,15
GABARAP,0.35437589670014347,0.6456241032998565,16
GPX1,0.3830703012912482,0.6169296987087518,17
LGALS2,0.4461979913916786,0.5538020086083214,18
CFD,0.4763271162123386,0.5236728837876614,19
TSPO,0.490674318507891,0.509325681492109,20
ANXA2,0.4949784791965567,0.5050215208034433,21
PYCARD,0.5222381635581061,0.47776183644189385,22
RAC1,0.5322812051649928,0.4677187948350072,23
IFITM3,0.5494978479196557,0.4505021520803443,24
HLA-DRB5,0.5509325681492109,0.4490674318507891,25
PRELID1,0.5552367288378766,0.44476327116212344,26
ISG15,0.5581061692969871,0.4418938307030129,27
FKBP1A,0.5624103299856529,0.4375896700143471,28
IFI6,0.5681492109038737,0.4318507890961263,29
SERPINA1,0.5681492109038737,0.4318507890961263,29
TKT,0.5781922525107603,0.42180774748923966,30
CD68,0.5853658536585367,0.41463414634146334,31
AP1S2,0.593974175035868,0.406025824964132,32
TPI1,0.6140602582496413,0.3859397417503587,33
NFKBIA,0.6255380200860832,0.37446197991391683,34
LGALS3,0.6284074605451937,0.3715925394548063,35
CEBPB,0.6370157819225251,0.36298421807747494,36
TIMP1,0.6413199426111909,0.35868005738880915,37
SLC25A5,0.6441893830703013,0.35581061692969873,38
